,Location,Total sqft,price,bedrooms
1288,Dombivali East,858,5600000.0,2.0
1289,Malad West,548,11500000.0,1.0
1290,Kandivali West,370,4300000.0,1.0
1291,Malad East,660,15800000.0,2.0
1292,Mulund West,660,16000000.0,2.0
1293,Kandivali West,530,9500000.0,1.0
1294,Ulwe,600,3000000.0,1.0
1295,Ulwe,350,2000000.0,1.0
1296,Santacruz East,394,9000000.0,1.0
1297,Goregaon East,12600,300000000.0,1.0
1298,Thane West,1200,15000000.0,3.0
1299,Mira Road East,4200,43000000.0,5.0
1300,Kandivali West,771,17500000.0,2.0
1301,Kandivali West,771,17500000.0,2.0
1302,Kandivali West,771,17500000.0,2.0
1303,Kandivali West,771,17500000.0,2.0
1304,Kandivali West,771,17500000.0,2.0
1307,Andheri West,651,2000000.0,1.0
1308,Andheri West,651,2000000.0,1.0
1310,Andheri West,651,2000000.0,1.0
1312,Andheri West,651,2000000.0,1.0
1313,Andheri West,651,2000000.0,1.0
1315,Andheri West,651,2000000.0,1.0
1318,Airoli,450,2600000.0,1.0
1319,Panvel,383,2300000.0,1.0
1321,Andheri West,651,2000000.0,1.0
1323,Andheri West,651,2000000.0,1.0
1325,Andheri West,651,2000000.0,1.0
1326,Andheri West,651,2000000.0,1.0
1327,Andheri West,651,2000000.0,1.0
1329,Prabhadevi,1925,90000000.0,3.0
1332,Andheri West,651,2000000.0,1.0
1333,Kandivali West,771,17500000.0,2.0
1334,Kandivali West,771,17500000.0,2.0
1335,Kandivali West,771,17500000.0,2.0
1336,Kandivali West,771,17500000.0,2.0
1337,Kandivali West,771,17500000.0,2.0
1338,Kandivali West,771,17500000.0,2.0
1339,Kandivali West,771,17500000.0,2.0
1341,Andheri West,651,2000000.0,1.0
1342,Vikroli East,850,13500000.0,2.0
1343,Andheri West,650,20000000.0,1.0
1345,Andheri West,651,2000000.0,1.0
1346,Karanjade,660,3300000.0,1.0
1347,Kandivali East,1111,11100000.000000002,1.0
1348,Dombivali,675,4800000.0,1.0
1349,Taloja,600,2300000.0,1.0
1350,Taloja,850,3360000.0,2.0
1351,Kalyan West,760,4000000.0,1.0
1352,other,415,1350000.0,1.0
1353,Kandivali West,1650,32100000.0,3.0
1354,other,1000,25000000.0,2.0
1355,other,625,2800000.0,1.0
1356,Panvel,636,2700000.0,1.0
1357,Andheri West,651,2000000.0,1.0
1359,Andheri West,651,2000000.0,1.0
1361,Andheri West,651,2000000.0,1.0
1362,Andheri West,651,2000000.0,1.0
1363,Andheri West,651,2000000.0,1.0
1368,Andheri West,651,2000000.0,1.0
1370,Andheri West,651,2000000.0,1.0
1371,other,625,3100000.0,1.0
1372,Seawoods,765,9200000.0,1.0
1374,Andheri West,651,2000000.0,1.0
1376,Ulwe,670,4950000.0,1.0
1377,Andheri West,651,2000000.0,1.0
1379,Andheri West,651,2000000.0,1.0
1380,Mira Road East,1070,9500000.0,2.0
1381,Mira Road East,1050,9000000.0,2.0
1382,Santacruz East,900,19500000.0,2.0
1383,Khar West,1200,37500000.0,3.0
1384,Panvel,951,5800000.0,2.0
1385,Ambernath East,1380,5500000.0,2.0
1386,Ambernath East,995,3800000.0,2.0
1387,Kandivali West,1650,32100000.0,3.0
1388,Bandra West,415,12500000.0,1.0
1390,Andheri West,651,2000000.0,1.0
1391,Borivali West,1080,25000000.0,3.0
1392,Taloja,750,3600000.0,1.0
1394,Virar,1100,7500000.0,2.0
1395,Kharghar,610,2500000.0,1.0
1396,Andheri West,650,2000000.0,1.0
1397,Belapur,720,9000000.0,2.0
1398,Byculla,1400,50000000.0,2.0
1399,Juhu,2400,190000000.0,4.0
1400,Ulwe,600,3000000.0,1.0
1401,Ulwe,350,2000000.0,1.0
1402,Santacruz East,394,9000000.0,1.0
1403,Goregaon East,12600,300000000.0,1.0
1404,Thane West,1200,15000000.0,3.0
1405,Mira Road East,4200,43000000.0,5.0
1406,Andheri West,651,2000000.0,1.0
1407,Koper Khairane,1700,28000000.0,3.0
1408,Andheri West,651,2000000.0,1.0
1410,Badlapur East,1150,6000000.0,2.0
1413,Bhiwandi,650,3600000.0,1.0
1414,Virar,1115,6600000.0,3.0
1417,Andheri West,651,2000000.0,1.0
1418,Andheri West,651,2000000.0,1.0
1419,Karjat,620,2400000.0,1.0
1420,Kandivali East,250,5500000.0,1.0
1421,other,420,9500000.0,1.0
1422,Borivali West,810,6400000.0,2.0
1423,Kandivali East,1100,23000000.0,2.0
1424,Andheri East,650,12200000.0,1.0
1426,Andheri West,651,2000000.0,1.0
1428,Andheri West,651,2000000.0,1.0
1430,other,672,5000000.0,1.0
1432,Andheri West,651,2000000.0,1.0
1434,Andheri West,651,2000000.0,1.0
1435,Andheri West,651,2000000.0,1.0
1436,Andheri West,651,2000000.0,1.0
1439,Andheri West,651,2000000.0,1.0
1440,Karanjade,1200,3200000.0,1.0
1441,Karanjade,1200,3200000.0,1.0
1442,Karanjade,1200,3200000.0,1.0
1443,Karanjade,1200,3200000.0,1.0
1445,Kharghar,630,2460000.0,1.0
1446,other,1300,67500000.0,3.0
1448,Andheri West,651,2000000.0,1.0
1450,Andheri West,651,2000000.0,1.0
1452,other,672,5000000.0,1.0
1454,Andheri West,651,2000000.0,1.0
1456,Andheri West,651,2000000.0,1.0
1457,Andheri West,651,2000000.0,1.0
1458,Andheri West,651,2000000.0,1.0
1461,Andheri West,651,2000000.0,1.0
1463,Andheri West,651,2000000.0,1.0
1464,Andheri West,650,2000000.0,1.0
1466,Andheri West,651,2000000.0,1.0
1467,Andheri West,651,2000000.0,1.0
1469,Andheri West,651,2000000.0,1.0
1472,Andheri West,651,2000000.0,1.0
1474,Andheri West,651,2000000.0,1.0
1476,Andheri West,651,2000000.0,1.0
1478,Dombivli (West),600,4500000.0,1.0
1479,Andheri West,651,2000000.0,1.0
1480,Taloja,600,2300000.0,1.0
1481,Taloja,850,3360000.0,2.0
1483,Andheri West,651,2000000.0,1.0
1485,Juhu,5500,235000000.0,6.0
1487,Lower Parel,3300,120000000.0,3.0
1489,Ambernath East,788,3000000.0,1.0
1490,Dombivali,1112,8700000.0,2.0
1491,Andheri West,651,2000000.0,1.0
1494,other,648,9500000.0,1.0
1495,Dombivali East,585,2800000.0,1.0
1496,Andheri East,750,22500000.0,2.0
1497,Vashi,415,6500000.0,1.0
1498,other,550,3990000.0,1.0
1499,Ambernath West,784,3300000.0,1.0
1500,Andheri West,651,2000000.0,1.0
1502,Andheri West,651,2000000.0,1.0
1503,Andheri West,651,2000000.0,1.0
1504,Goregaon East,700,8900000.0,1.0
1506,Dombivali East,510,2805000.0,1.0
1507,Dombivali East,510,2805000.0,1.0
1508,Andheri West,651,2000000.0,1.0
1509,Vikhroli,533,8800000.0,1.0
1513,Andheri West,651,2000000.0,1.0
1514,Andheri West,651,2000000.0,1.0
1515,Andheri West,651,2000000.0,1.0
1517,Kandivali East,250,5500000.0,1.0
1518,other,420,9500000.0,1.0
1519,Borivali West,810,6400000.0,2.0
1520,Badlapur West,640,2300000.0,1.0
1521,Badlapur West,640,2300000.0,1.0
1522,Andheri West,651,2000000.0,1.0
1523,Karanjade,1200,3200000.0,1.0
1524,Badlapur West,640,2300000.0,1.0
1525,Karanjade,1200,3200000.0,1.0
1526,Karanjade,1200,3200000.0,1.0
1527,Karanjade,1200,3200000.0,1.0
1528,Karanjade,1200,3200000.0,1.0
